masa_A
t,x,y,v
0.000,3.333E-3,6.200E-2,
0.033,4.836E-3,6.210E-2,5.044E-2
0.067,6.683E-3,6.229E-2,5.946E-2
0.100,8.730E-3,6.284E-2,6.570E-2
0.133,1.096E-2,6.325E-2,6.271E-2
0.167,1.288E-2,6.337E-2,6.342E-2
0.200,1.518E-2,6.340E-2,7.191E-2
0.233,1.767E-2,6.357E-2,7.629E-2
0.267,2.026E-2,6.365E-2,7.592E-2
0.300,2.270E-2,6.407E-2,8.598E-2
0.333,2.592E-2,6.457E-2,9.825E-2
0.367,2.922E-2,6.477E-2,0.100
0.400,3.261E-2,6.482E-2,0.109
0.433,3.650E-2,6.506E-2,0.120
0.467,4.063E-2,6.526E-2,0.117
0.500,4.428E-2,6.565E-2,0.123
0.533,4.879E-2,6.602E-2,0.143
0.567,5.382E-2,6.628E-2,0.141
0.600,5.814E-2,6.724E-2,0.148
0.633,6.362E-2,6.758E-2,0.151
0.667,6.819E-2,6.805E-2,0.162
0.700,7.438E-2,6.864E-2,0.190
0.733,8.082E-2,6.867E-2,0.199
0.767,8.761E-2,6.867E-2,0.211
0.800,9.486E-2,6.845E-2,0.221
0.833,0.102,6.843E-2,0.243
0.867,0.111,6.766E-2,0.250
0.900,0.119,6.731E-2,0.239
0.933,0.127,6.707E-2,0.249
0.967,0.136,6.654E-2,0.246
1.000,0.143,6.575E-2,0.242
1.033,0.152,6.495E-2,0.238
1.067,0.159,6.436E-2,0.229
1.100,0.167,6.380E-2,0.221
1.133,0.174,6.333E-2,0.203
1.167,0.180,6.288E-2,0.191
1.200,0.186,6.245E-2,0.182
1.233,0.192,6.208E-2,0.183
1.267,0.199,6.181E-2,0.180
1.300,0.204,6.172E-2,0.173
1.333,0.210,6.153E-2,0.218
1.367,0.219,6.133E-2,0.212
1.400,0.224,6.067E-2,0.160
1.433,0.230,6.070E-2,0.161
1.467,0.235,6.071E-2,0.167
1.500,0.241,6.064E-2,0.165
1.533,0.246,6.038E-2,0.180
1.567,0.253,5.956E-2,0.182
1.600,0.258,5.916E-2,0.163
1.633,0.264,5.891E-2,0.158
1.667,0.269,5.880E-2,0.157
1.700,0.274,5.767E-2,0.142
1.733,0.278,5.758E-2,0.117
1.767,0.282,5.757E-2,0.111
1.800,0.285,5.759E-2,0.116
1.833,0.289,5.758E-2,0.119
1.867,0.293,5.727E-2,0.104
1.900,0.296,5.722E-2,9.174E-2
1.933,0.299,5.754E-2,9.614E-2
1.967,0.303,5.760E-2,0.100
2.000,0.306,5.759E-2,0.104
2.033,0.310,5.743E-2,9.997E-2
2.067,0.313,5.699E-2,9.070E-2
2.100,0.316,5.660E-2,8.140E-2
2.133,0.318,5.645E-2,6.956E-2
2.167,0.320,5.645E-2,5.856E-2
2.200,0.322,5.643E-2,5.572E-2
2.233,0.324,5.655E-2,6.089E-2
2.267,0.326,5.653E-2,6.237E-2
2.300,0.328,5.653E-2,5.523E-2
2.333,0.330,5.649E-2,4.656E-2
2.367,0.331,5.665E-2,4.849E-2
2.400,0.333,5.681E-2,5.403E-2
2.433,0.335,5.681E-2,5.663E-2
2.467,0.337,5.660E-2,5.450E-2
2.500,0.339,5.644E-2,4.464E-2
2.533,0.340,5.635E-2,3.306E-2
2.567,0.341,5.633E-2,3.044E-2
2.600,0.342,5.633E-2,4.878E-2
2.633,0.344,5.600E-2,6.304E-2
2.667,0.346,5.583E-2,5.523E-2
2.700,0.348,5.567E-2,4.008E-2
2.733,0.349,5.567E-2,
