masa_A
t,x,y,v
0.000,1.674E-3,9.174E-2,
0.033,1.672E-3,9.141E-2,1.956E-2
0.067,2.948E-3,9.147E-2,3.879E-2
0.100,4.255E-3,9.153E-2,3.921E-2
0.133,5.556E-3,9.163E-2,4.074E-2
0.167,6.958E-3,9.180E-2,3.987E-2
0.200,8.172E-3,9.211E-2,4.288E-2
0.233,9.717E-3,9.255E-2,4.876E-2
0.267,1.138E-2,9.264E-2,5.575E-2
0.300,1.343E-2,9.267E-2,6.650E-2
0.333,1.581E-2,9.267E-2,7.837E-2
0.367,1.866E-2,9.268E-2,9.005E-2
0.400,2.181E-2,9.273E-2,0.102
0.433,2.544E-2,9.266E-2,0.113
0.467,2.935E-2,9.259E-2,0.118
0.500,3.332E-2,9.253E-2,0.124
0.533,3.763E-2,9.239E-2,0.154
0.567,4.351E-2,9.121E-2,0.171
0.600,4.890E-2,9.078E-2,0.180
0.633,5.539E-2,8.961E-2,0.201
0.667,6.205E-2,8.831E-2,0.208
0.700,6.902E-2,8.696E-2,0.218
0.733,7.631E-2,8.546E-2,0.225
0.767,8.377E-2,8.411E-2,0.250
0.800,9.249E-2,8.159E-2,0.268
0.833,0.101,7.943E-2,0.246
0.867,0.108,7.752E-2,0.230
0.900,0.116,7.601E-2,0.230
0.933,0.123,7.458E-2,0.221
0.967,0.130,7.298E-2,0.212
1.000,0.137,7.149E-2,0.214
1.033,0.144,6.986E-2,0.205
1.067,0.150,6.816E-2,0.184
1.100,0.156,6.708E-2,0.176
1.133,0.162,6.590E-2,0.171
1.167,0.167,6.485E-2,0.182
1.200,0.174,6.419E-2,0.196
1.233,0.181,6.381E-2,0.181
1.267,0.186,6.295E-2,0.159
1.300,0.191,6.275E-2,0.188
1.333,0.198,6.237E-2,0.182
1.367,0.203,6.229E-2,0.149
1.400,0.208,6.209E-2,0.151
1.433,0.213,6.217E-2,0.147
1.467,0.218,6.235E-2,0.155
1.500,0.224,6.245E-2,0.158
1.533,0.229,6.243E-2,0.160
1.567,0.234,6.230E-2,0.162
1.600,0.240,6.209E-2,0.159
1.633,0.245,6.186E-2,0.159
1.667,0.250,6.178E-2,0.170
1.700,0.256,6.172E-2,0.175
1.733,0.262,6.172E-2,0.167
1.767,0.267,6.173E-2,0.158
1.800,0.272,6.173E-2,0.147
1.833,0.277,6.188E-2,0.144
1.867,0.282,6.225E-2,0.144
1.900,0.287,6.252E-2,0.131
1.933,0.291,6.286E-2,0.177
1.967,0.298,6.249E-2,0.189
2.000,0.303,6.246E-2,0.130
2.033,0.307,6.251E-2,0.120
2.067,0.311,6.247E-2,0.123
2.100,0.315,6.225E-2,0.120
2.133,0.319,6.162E-2,0.118
2.167,0.323,6.125E-2,0.115
2.200,0.327,6.113E-2,0.108
2.233,0.330,6.108E-2,0.103
2.267,0.334,6.110E-2,0.101
2.300,0.337,6.115E-2,9.554E-2
2.333,0.340,6.121E-2,8.592E-2
2.367,0.343,6.120E-2,8.280E-2
2.400,0.346,6.112E-2,7.588E-2
2.433,0.348,6.109E-2,6.900E-2
2.467,0.350,6.105E-2,6.596E-2
2.500,0.352,6.098E-2,6.432E-2
2.533,0.354,6.096E-2,6.389E-2
2.567,0.356,6.080E-2,5.654E-2
2.600,0.358,6.079E-2,5.078E-2
2.633,0.360,6.074E-2,4.552E-2
2.667,0.361,6.073E-2,4.216E-2
2.700,0.363,6.077E-2,6.874E-2
2.733,0.366,6.021E-2,7.840E-2
2.767,0.368,5.970E-2,6.196E-2
2.800,0.370,5.985E-2,5.039E-2
2.833,0.371,5.902E-2,4.141E-2
2.867,0.373,5.901E-2,2.520E-2
2.900,0.373,5.934E-2,2.579E-2
2.933,0.374,5.949E-2,4.207E-2
2.967,0.376,5.949E-2,3.441E-2
3.000,0.376,5.866E-2,
